allergens,brands,countries,ingredients_text,product_name
,Sidi Ali,Marokko,une eau minérale naturelle,Sidi Ali
en:milk,Jaouda,"Morocco,United States","Lait écrémé, crème, SUcre, ferments laciques Matière grasse:3 %% Poids net : 85g",Perly
,sidi ali,"Morocco,Netherlands,United States",Sodium 26 Calcium 12 Magnésium 9 Potassium 3 Bicarbonates 104 Sulfates 42 Chlorures 14 Nitrates 0 صوديوم كالسيوم تغازيوم بوتاسيوم میکرونات سلفات كلوري نترات,Sidi Ali
,"Sidi Ali,Les Eaux Minérales d'oulmès","Germany,Morocco,Netherlands,United Kingdom,United States",100% EAU MINÉRALE,Eau minérale naturelle
,"pepsi,PepsiCo","Maroc,États-Unis",ouverture et avant le : Voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 Eau purifiée par la technique Aquafina HydRO-7,اكوافينا
,Jaouda,"Morocco, en:united-states",lait frais pasteurisé demi écrémé,Lait
,Cristaline,"Belgium,Côte d'Ivoire,France,Germany,Guadeloupe,Italy,Luxembourg,Mali,Martinique,New Caledonia,Switzerland,United Kingdom",Eau de source,Eau de source
en:milk,MILKY FOOD PROFESSIONAL,Maroc,"Ferments lactiques, Présure, Sel.",Fromage blanc nature
,Jaouda,"Democratic Republic of the Congo, Mauritania, Morocco, en:united-states",Lait entier,Lait entier UHT
,,en:france,,
,,en:romania,,
,Schogetten,en:Romania,,Crunchy Peanut Butter Chocolate
,Dm,en:germany,,Cannellini Bohnen
,,en:Greece,,
,,en:romania,"Făină de porumb precoaptă (origine: din UE), grasime vegetala (palmier), condimente reparate cu aromă de brânză şi ardei iute (origine: din UE) [ZER PRAF, maltodextrina, sare, arome, rentiatori de aromã (monoglutamat de sodiu, inozinat si guanillat disodic), PRAF DE BRANZA (0,4%)* ectori de aciditate (acetati de sodiu, acid citric), coloranti (extract de paprika, annatto bixiná), oxidanti (acid ascorbic, extracte de rozmarin, butilhidroxianisol, galat de propil, alfa-tocoferol, extract Ingat in tocoferol)], ulei vegetal (floarea-soarelui). &quot;In produsul final. Poate contine SOIA.",Takis
,"Gut & Günstig, Gut & Günstig",en:germany,,Tomaten
,,en:germany,,
,,en:Czechia,,
,Ülker,en:montenegro,,Albeni Bar Cake
,,en:morocco,,
,,en:Belgium,,
,,en:france,,
,Unearthed,en:United Kingdom,,Mini Chocolate Filled Churros
,Nice Bites,en:Czechia,,Cashew And Cranberries
,,en:spain,,
,,en:The Netherlands,"Flour whole wheat flour, Water boiled",
,,en:france,,
,,en:united-states,,
,,en:morocco,,
,,en:Ireland,,Fellas bar
,,en:france,,
,,en:spain,,
,Jaouda,"Maroc,en:morocco","lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques
matière grasse 21%",Jben
